Announcement Date,Cat A (Cars up to 1600cc and 97kW),Cat B (Cars above 1600cc or 97kW)
13/3/2013,74689,58090
15/1/2003,26499,25028
15/1/2004,24001,22002
15/1/2005,19501,19502
15/1/2006,8009,9603
15/1/2007,11881,12000
15/10/2002,30758,30811
15/10/2003,28300,27989
15/10/2004,23784,23005
15/10/2005,14501,14101
15/10/2006,10510,12989
15/10/2007,12401,17589
15/11/2002,29008,28001
15/11/2003,26725,25481
15/11/2004,22001,20300
15/11/2005,14001,14897
15/11/2006,12689,14509
15/11/2007,14404,16401
15/12/2002,26993,23890
15/12/2003,24251,22295
15/12/2004,20117,18708
15/12/2005,12081,9001
15/12/2006,9605,12889
15/12/2007,14001,15802
15/2/2003,29999,30699
15/2/2004,24389,22001
15/2/2005,18159,16891
15/2/2006,10103,10489
15/2/2007,5200,6002
15/3/2003,26999,26001
15/3/2004,24940,25058
15/3/2005,18901,18001
15/3/2006,11904,13556
15/3/2007,13504,14652
15/3/2017,50789,53300
15/4/2002,36000,42101
15/4/2003,28054,27058
15/4/2004,27564,28022
15/4/2005,18101,17701
15/4/2006,11901,13101
15/4/2007,14601,15989
15/5/2002,33401,38001
15/5/2003,31095,31400
15/5/2004,27501,27990
15/5/2005,16897,16108
15/5/2006,10100,11801
15/5/2007,17010,18900
15/6/2002,30281,32499
15/6/2003,31440,31505
15/6/2004,28331,30400
15/6/2005,17289,15001
15/6/2006,9301,11001
15/6/2007,15591,18891
15/7/2002,30797,30008
15/7/2003,31501,31889
15/7/2004,27019,27001
15/7/2005,16500,16501
15/7/2006,10803,10600
15/7/2007,16000,17602
15/8/2002,31289,32001
15/8/2003,30989,29900
15/8/2004,25797,26301
15/8/2005,16101,16303
15/8/2006,12989,13890
15/8/2007,8118,16010
15/9/2002,28409,28009
15/9/2003,30629,30048
15/9/2004,24189,26101
15/9/2005,15309,14808
15/9/2006,13102,14399
15/9/2007,17941,19589
17/1/2018,36890,42661
17/1/2024,81589,112000
17/10/2012,71001,85801
17/10/2018,25556,31302
17/11/2021,55001,79601
17/12/2008,6200,2656
17/12/2014,65889,74000
17/2/2015,57199,66751
17/2/2016,43000,46970
17/2/2021,41001,46002
17/3/2021,44589,47001
17/4/2019,33199,48000
17/4/2024,94010,102001
17/5/2023,92000,113034
17/6/2009,12899,14840
17/6/2015,61000,71509
17/7/2013,73989,76389
17/7/2019,26667,39406
17/7/2024,91899,100000
17/8/2011,49301,65521
17/8/2016,53334,56500
17/8/2022,87889,112001
17/9/2008,14100,13301
17/9/2014,62000,71990
18/1/2012,48112,67889
18/1/2017,50889,52807
18/1/2023,86000,105459
18/10/2023,106000,150001
18/11/2009,17189,18002
18/11/2010,39000,47890
18/11/2015,59200,61103
18/11/2020,37690,41101
18/12/2013,74002,75700
18/12/2019,32889,36000
18/2/2009,4460,4889
18/3/2009,5116,5001
18/3/2015,64700,71889
18/3/2020,31210,30012
18/4/2012,64201,91000
18/4/2018,38510,37330
18/5/2016,47020,49156
18/6/2008,14101,14689
18/6/2014,61899,65700
18/7/2012,68656,90501
18/7/2018,32699,32551
18/8/2010,29000,42810
18/8/2021,46689,61001
18/9/2013,83751,86239
18/9/2019,31759,37000
18/9/2024,98524,110001
19/1/2011,40123,58910
19/1/2022,57898,82001
19/10/2011,56112,75889
19/10/2016,50991,56410
19/10/2017,41617,49996
19/10/2022,81089,110000
19/11/2008,2,4889
19/11/2014,67889,72890
19/12/2012,81889,93501
19/12/2018,25501,31001
19/2/2014,77201,78604
19/2/2020,32999,32889
19/3/2008,15389,19001
19/3/2014,78602,82900
19/4/2023,103721,120889
19/5/2010,27389,34600
19/5/2011,46989,56300
19/5/2021,41801,58089
19/5/2022,68001,95889
19/6/2013,69903,81751
19/6/2019,26999,35906
19/7/2017,44002,50001
19/7/2023,95202,118001
19/8/2009,15019,16290
19/8/2015,57498,62140
19/8/2020,35710,38802
19/9/2012,63000,88500
19/9/2018,28000,31307
20/1/2010,20501,22400
20/1/2016,51301,50089
20/1/2021,40609,49001
20/10/2010,32415,44600
20/10/2021,52709,80210
20/11/2013,74991,79300
20/11/2019,32000,39700
20/11/2024,89889,105081
20/12/2017,38200,47002
20/12/2023,85000,110001
20/2/2008,12856,15510
20/2/2013,78301,92667
20/2/2019,26301,35403
20/3/2019,26659,39401
20/3/2024,85489,96011
20/4/2011,44000,56801
20/4/2016,47300,49602
20/4/2022,68699,90002
20/5/2009,9889,9180
20/5/2015,66590,75002
20/6/2012,59004,85400
20/6/2018,34110,33900
20/6/2024,90889,102334
20/7/2011,56002,72501
20/7/2016,53000,57508
20/7/2022,78899,110003
20/8/2008,13289,13890
20/8/2014,65710,72990
20/9/2017,42902,49189
20/9/2023,105000,140889
21/1/2009,2693,200
21/1/2015,65001,76889
21/10/2009,18899,19510
21/10/2015,57301,59889
21/10/2020,37334,40990
21/11/2012,77291,93004
21/11/2018,25000,31101
21/12/2011,50001,70003
21/12/2016,49751,51109
21/12/2022,88007,108006
21/2/2018,36810,39000
21/2/2024,76801,97000
21/3/2012,56501,82003
21/3/2018,38000,37010
21/4/2010,30000,40001
21/4/2021,49640,61190
21/5/2014,65689,68103
21/6/2017,42801,47501
21/6/2023,96206,121000
21/7/2010,36162,42889
21/8/2013,76223,76607
21/8/2019,31917,38602
21/8/2024,93900,105889
21/9/2011,48006,64889
21/9/2016,50000,55501
21/9/2022,84000,108051
22/1/2014,72290,79000
22/1/2020,35010,37705
22/10/2008,10989,7589
22/11/2017,46791,57390
22/11/2023,85001,135336
22/12/2010,46129,72001
22/12/2021,58801,80989
22/2/2012,57009,78189
22/2/2023,86556,115001
22/3/2023,93503,116201
22/4/2009,7589,7490
22/4/2015,67601,78001
22/5/2008,15701,17113
22/5/2013,64839,67304
22/6/2011,50244,67700
22/6/2016,55200,57010
22/6/2022,74989,106001
22/7/2009,15291,18501
22/7/2015,55889,58109
22/7/2020,32699,35001
22/7/2021,47010,59501
22/9/2010,30001,42501
22/9/2021,48000,68310
23/1/2008,12001,13289
23/1/2013,91010,95501
23/1/2019,26170,33989
23/10/2013,76889,87910
23/10/2014,63990,72002
23/10/2019,32309,41805
23/10/2024,102900,113890
